age,gender,class,Fav Subject,Mrks in Maths,Mrks in Science,Mrks in History,Mrks in geography,Mrks in English,Mrks in Marathi,Mrks in Hindi,Mrks in Computer
13,m,8,Computer,50,40,66,80,91,64,59,39
7,f,2,Hindi,40,52,76,64,39,93,65,42
9,m,4,Hindi,64,50,69,78,81,40,67,62
8,f,3,English,94,57,67,69,64,69,91,100
12,f,7,History,38,49,54,60,45,65,94,36
6,m,1,English,68,92,90,62,84,40,41,61
8,m,3,History,93,40,66,79,72,90,59,80
6,m,1,Geography,83,61,86,79,75,89,61,82
11,f,6,Maths,58,37,66,95,75,99,68,79
15,f,10,Computer,72,52,75,35,55,44,54,43
11,m,6,Geography,94,36,58,87,41,38,88,49
8,f,3,Marathi,78,62,67,77,46,70,66,61
6,m,1,English,41,60,80,87,77,83,65,46
14,m,9,Maths,86,38,82,66,41,98,96,66
14,f,9,Maths,51,40,99,89,40,76,59,78
15,f,10,Computer,92,55,74,99,75,83,82,87
10,m,5,Geography,95,92,40,72,76,74,77,38
13,m,8,Science,75,59,50,39,96,52,80,65
9,f,4,Geography,70,46,100,52,84,37,59,46
9,m,4,Geography,77,84,63,56,58,80,37,67
10,m,5,English,73,37,67,64,99,38,39,54
11,m,6,English,98,53,86,35,66,98,60,37
15,f,10,Geography,76,76,75,100,64,52,94,47
9,m,4,Computer,65,42,47,95,64,76,69,52
7,f,2,Maths,66,91,85,86,89,76,95,39
9,m,4,Computer,66,73,54,41,40,54,36,70
11,f,6,Maths,99,52,54,66,82,85,90,92
13,f,8,Marathi,83,47,70,37,66,79,75,74
11,m,6,History,36,83,38,87,95,56,72,53
11,m,6,English,50,76,67,59,43,81,41,81
15,m,10,Maths,58,92,87,49,62,58,75,58
12,f,7,Science,81,87,92,71,44,91,84,72
6,f,1,Hindi,68,79,48,55,85,70,97,81
10,m,5,Hindi,83,63,86,53,78,62,40,66
10,f,5,English,94,67,88,96,41,66,53,35
9,m,4,History,80,77,73,84,56,62,46,90
6,m,1,English,43,50,96,60,92,50,94,64
9,f,4,Geography,68,98,54,47,92,50,70,83
8,f,3,Maths,90,56,47,89,100,55,67,90
15,m,10,Hindi,81,41,97,45,41,84,91,83
11,m,6,Hindi,64,58,80,41,38,49,93,49
11,f,6,Maths,61,40,90,65,40,95,51,95
10,m,5,Geography,46,37,45,61,95,62,74,50
8,m,3,Science,36,77,49,63,74,38,76,100
15,m,10,History,47,59,67,66,86,86,65,45
9,f,4,Hindi,76,44,49,88,91,86,85,93
15,m,10,English,83,47,97,85,62,92,90,47
9,f,4,Maths,76,90,41,60,99,97,65,48
15,m,10,History,95,72,37,93,53,50,70,71
10,f,5,Computer,37,47,52,91,65,99,85,97
13,f,8,Geography,47,72,44,45,77,47,40,62
15,m,10,English,62,59,74,72,51,69,75,81
7,m,2,Computer,87,45,64,64,76,36,94,53
14,m,9,Geography,43,82,80,98,44,81,91,78
15,f,10,Marathi,36,67,49,91,76,53,44,53
11,f,6,Maths,77,84,50,71,45,49,37,40
7,m,2,Maths,52,76,46,86,47,50,72,37
13,f,8,Hindi,77,44,46,81,78,67,50,44
10,m,5,Computer,83,65,42,61,52,86,93,89
8,m,3,Marathi,51,35,49,52,98,44,67,75
7,f,2,Science,92,68,43,88,78,97,63,37
8,f,3,History,91,46,43,91,76,54,73,76
13,m,8,Science,36,57,76,37,91,94,95,42
12,m,7,Maths,78,50,42,48,75,63,62,56
15,f,10,Science,74,95,36,56,47,60,50,61
6,m,1,Science,71,63,49,51,49,79,44,97
6,m,1,English,47,91,45,92,69,43,74,88
12,m,7,Science,48,63,97,72,68,58,77,93
14,f,9,English,89,74,84,88,63,86,59,52
14,m,9,Hindi,54,45,100,57,77,95,98,86
14,f,9,Science,68,93,61,40,73,49,59,36
8,m,3,Marathi,78,74,55,54,94,91,43,75
14,f,9,Geography,77,96,96,74,75,63,92,99
11,f,6,Marathi,59,40,89,90,59,42,36,100
6,m,1,Hindi,53,74,60,55,85,55,47,79
6,m,1,Computer,96,63,66,49,86,77,96,94
10,m,5,Geography,82,88,66,99,51,42,48,45
6,f,1,Maths,56,38,79,98,50,87,87,43
6,f,1,English,65,96,68,46,98,75,36,86
14,m,9,Hindi,92,100,74,75,64,88,92,96
13,f,8,Geography,70,79,41,58,55,68,65,77
7,m,2,Maths,72,54,37,86,52,81,65,51
11,m,6,Maths,47,38,42,54,82,90,42,96
14,f,9,Computer,37,58,90,83,96,47,43,71
8,f,3,Geography,46,70,68,94,87,69,62,91
12,m,7,English,76,51,50,90,90,60,40,89
13,m,8,Science,87,62,97,52,68,54,51,58
6,f,1,Computer,53,87,79,57,54,78,79,43
12,m,7,Geography,41,63,82,49,60,42,81,66
14,m,9,English,71,100,97,80,67,64,52,96
9,m,4,History,72,91,100,75,93,75,43,55
13,f,8,Maths,57,66,72,72,97,88,60,37
13,m,8,English,56,86,57,61,82,84,40,73
6,f,1,English,42,73,87,85,99,36,48,73
15,m,10,English,67,35,36,63,67,51,63,47
11,f,6,Hindi,40,57,95,83,50,65,59,81
11,f,6,Computer,47,42,72,69,62,86,66,73
6,m,1,English,41,94,45,97,49,38,62,63
10,m,5,Geography,78,62,53,41,61,64,61,94
7,m,2,English,69,75,84,39,58,44,51,54
12,f,7,Science,88,85,81,79,82,72,82,51
15,f,10,Science,100,97,55,38,40,65,45,64
14,m,9,History,89,73,46,51,70,51,68,59
6,f,1,Geography,49,48,61,67,72,88,73,97
13,m,8,Marathi,65,66,72,38,40,47,85,66
9,m,4,Science,74,41,50,91,83,35,62,35
14,f,9,Science,90,83,81,83,85,67,76,72
11,f,6,Science,49,93,37,40,40,59,96,65
14,m,9,Marathi,94,58,54,39,56,83,36,73
15,m,10,English,67,51,90,93,76,63,41,88
10,f,5,English,66,60,89,38,58,37,72,93
13,m,8,Marathi,93,63,73,47,55,80,56,41
9,m,4,Science,44,54,54,51,63,36,48,90
8,m,3,History,65,57,69,74,46,57,71,96
13,f,8,Computer,95,73,78,59,69,72,76,62
12,m,7,Computer,89,78,48,70,75,80,65,87
9,f,4,Science,46,98,92,78,56,98,69,49
9,m,4,Computer,46,77,75,59,53,52,53,53
15,f,10,Marathi,95,45,53,86,53,66,52,97
10,f,5,Hindi,96,63,52,96,68,54,96,90
15,m,10,Science,49,94,73,46,94,78,39,76
15,m,10,Geography,68,80,70,84,78,49,90,100
9,m,4,Hindi,58,66,93,55,95,65,52,91
13,f,8,Maths,76,90,42,69,100,62,48,49
11,f,6,Science,49,39,64,85,84,71,46,65
10,m,5,History,66,65,74,60,75,49,87,45
7,f,2,Marathi,54,58,72,73,69,39,98,46
6,m,1,Marathi,60,59,79,36,86,59,90,88
14,m,9,English,82,93,81,66,37,62,47,94
11,f,6,English,67,37,92,61,39,70,89,100
10,f,5,Geography,40,76,75,90,47,86,89,80
8,m,3,English,42,47,97,68,51,68,85,56
7,m,2,English,62,82,90,37,74,47,64,63
11,f,6,Hindi,95,81,43,93,63,49,96,45
10,m,5,Hindi,74,73,91,53,39,51,90,93
11,m,6,English,55,61,38,51,61,52,68,70
13,m,8,Marathi,43,93,82,47,63,45,38,79
8,f,3,History,84,82,63,97,62,66,64,64
11,m,6,Geography,67,38,87,38,93,83,56,51
10,f,5,Computer,66,66,46,85,55,84,60,57
6,m,1,Maths,79,66,76,82,94,46,70,35
7,f,2,History,97,46,40,68,50,98,43,91
13,f,8,English,41,61,82,77,65,63,70,99
7,m,2,Hindi,55,99,80,51,73,86,68,40
10,m,5,History,51,78,35,45,51,55,55,92
13,m,8,Science,89,52,53,99,56,49,86,70
7,f,2,English,35,73,49,99,58,37,45,65
15,f,10,Science,88,65,65,53,73,38,48,84
7,m,2,History,87,94,51,59,83,87,72,79
6,f,1,Hindi,77,87,67,63,100,76,67,42
7,m,2,English,100,76,71,95,53,68,36,35
12,m,7,Science,86,35,78,97,82,90,63,63
7,f,2,English,82,94,39,47,76,82,58,48
9,f,4,Science,72,92,64,93,42,41,43,50
11,m,6,Geography,39,35,64,76,68,79,44,50
9,m,4,English,52,35,82,60,75,60,99,40
8,f,3,Marathi,82,49,96,99,59,96,41,46
9,m,4,Marathi,72,64,69,92,46,84,79,50
12,m,7,Geography,100,61,86,40,84,59,77,76
9,m,4,Computer,99,91,65,42,77,37,64,53
14,f,9,Geography,62,65,46,61,64,85,68,44
7,m,2,Science,91,55,72,61,77,84,98,93
13,f,8,Science,73,50,76,59,49,70,91,90
9,m,4,Marathi,60,90,95,54,72,68,64,71
14,f,9,History,89,39,71,59,68,39,49,76
10,f,5,History,61,63,64,79,41,92,70,80
13,m,8,Marathi,51,87,72,82,95,87,77,59
10,m,5,Marathi,74,46,62,54,59,96,55,86
13,m,8,Maths,40,44,50,66,70,80,49,90
7,f,2,Science,47,55,47,84,73,59,78,95
8,f,3,Geography,50,79,40,42,44,87,35,40
15,m,10,Computer,59,99,43,35,72,65,92,51
14,f,9,Geography,50,54,84,54,61,96,35,69
8,m,3,Marathi,60,69,93,98,86,39,87,80
9,m,4,English,89,90,67,72,57,72,72,56
12,f,7,English,58,48,70,35,81,79,57,60
10,f,5,Hindi,44,92,52,64,56,50,50,60
14,m,9,Geography,82,73,96,62,49,90,97,60
10,m,5,Hindi,96,64,99,87,93,80,93,46
13,f,8,Maths,96,64,58,55,95,59,98,46
14,m,9,Maths,70,49,89,63,55,91,44,77
10,m,5,Geography,71,43,52,74,85,75,70,100
13,m,8,Computer,68,97,43,40,43,85,67,65
10,f,5,History,74,37,43,85,86,46,79,99
11,m,6,History,68,43,43,73,48,91,73,85
11,f,6,Hindi,56,96,44,75,78,62,74,64
13,m,8,Computer,74,50,55,65,64,47,63,97
12,f,7,Science,86,45,84,99,85,49,37,57
8,f,3,English,65,96,41,82,72,67,45,96
9,m,4,Maths,55,92,82,46,93,38,64,72
13,m,8,History,91,66,67,79,97,70,82,69
7,m,2,Marathi,46,94,67,51,57,94,83,82
14,f,9,Computer,76,42,62,52,62,35,100,65
8,f,3,English,99,63,65,96,98,51,78,96
11,m,6,Computer,98,72,65,86,91,67,52,79
11,f,6,English,58,93,61,48,38,61,99,67
14,m,9,Maths,72,65,39,39,49,57,54,97
11,m,6,English,87,94,67,82,84,84,46,40
6,f,1,Marathi,84,76,97,48,44,93,70,73
12,f,7,Marathi,38,73,57,91,62,39,89,65
9,m,4,Science,66,78,91,100,49,79,84,69
6,m,1,English,69,53,68,97,95,42,67,93
11,f,6,Marathi,96,47,74,78,42,70,99,76
8,m,3,Marathi,43,79,94,99,61,66,72,84
7,m,2,Science,87,85,60,85,93,51,37,37
9,m,4,Science,44,73,76,39,60,72,93,66
11,f,6,History,76,37,97,50,46,49,53,100
14,m,9,Hindi,47,59,90,59,76,99,49,73
14,f,9,History,94,99,50,36,62,80,74,78
14,m,9,Hindi,59,99,90,57,46,84,47,64
11,f,6,Computer,95,71,97,85,86,91,48,46
13,f,8,Computer,55,56,44,94,61,52,41,70
9,m,4,Science,62,47,56,45,75,94,39,93
13,m,8,Science,81,58,84,97,67,50,47,96
7,m,2,Computer,62,82,79,94,40,80,71,39
8,f,3,Hindi,36,56,63,64,54,56,36,78
12,f,7,Computer,68,37,43,38,77,87,87,61
15,m,10,Marathi,35,96,68,54,37,94,43,67
8,f,3,History,38,80,78,78,49,63,63,97
13,m,8,Computer,52,74,52,87,79,46,61,94
12,m,7,Marathi,37,71,72,48,74,43,87,87
9,f,4,Maths,69,94,92,44,43,73,100,90
15,f,10,Computer,80,58,72,58,74,69,73,90
14,m,9,Science,51,79,89,51,39,50,36,50
9,m,4,Hindi,64,87,85,44,41,64,70,87
7,f,2,Marathi,46,70,37,99,50,42,98,41
8,m,3,Hindi,48,40,79,87,93,69,84,74
11,m,6,English,80,60,74,87,60,71,86,59
9,m,4,History,55,41,52,46,99,41,41,79
10,f,5,Science,88,37,90,42,83,77,88,98
12,m,7,Maths,85,87,44,61,44,40,93,85
7,f,2,Science,91,69,89,60,90,41,37,74
7,m,2,Science,48,81,77,82,63,76,65,90
8,f,3,Geography,48,73,89,55,60,74,41,72
14,f,9,Hindi,53,43,40,45,68,63,72,98
10,m,5,Marathi,55,92,39,40,45,57,53,58
7,m,2,English,80,42,85,61,66,41,72,35
10,m,5,Science,62,98,79,100,91,64,78,81
12,f,7,English,65,71,81,70,83,42,92,42
12,f,7,Maths,82,64,87,93,39,54,63,74
6,m,1,History,70,58,98,55,39,65,94,82
15,f,10,History,83,44,37,67,90,80,66,76
9,m,4,Geography,45,59,69,85,88,93,63,77
12,m,7,Science,96,74,57,57,86,63,64,54
6,f,1,Computer,63,80,71,41,46,67,74,37
7,f,2,History,43,67,94,38,45,85,77,37
15,m,10,Science,99,76,90,72,83,63,93,63
12,m,7,History,40,61,37,98,83,86,37,64
13,f,8,History,54,97,100,65,48,47,96,75
13,m,8,Marathi,89,76,72,96,63,41,58,96
10,m,5,Hindi,46,82,94,54,52,56,49,74
7,m,2,Computer,89,87,81,61,84,49,67,84
14,f,9,Hindi,73,38,39,63,90,83,47,92
14,m,9,Science,73,86,86,88,52,63,80,86
10,f,5,Science,36,78,85,75,94,51,98,64
10,m,5,Maths,80,40,64,97,81,89,69,63
8,f,3,English,65,42,83,93,43,96,75,75
6,f,1,Marathi,66,76,78,63,40,79,51,56
12,m,7,Hindi,51,40,60,41,40,57,56,99
10,m,5,Geography,92,71,76,43,95,81,63,42
8,m,3,Marathi,83,77,82,63,89,89,44,64
13,f,8,Marathi,40,68,94,65,82,83,52,100
11,f,6,Computer,43,74,100,37,97,76,54,51
9,m,4,Computer,70,91,94,56,42,67,96,86
6,f,1,English,95,49,78,94,83,38,98,99
13,m,8,English,74,64,54,36,55,49,51,38
10,m,5,Hindi,87,61,60,87,45,46,95,54
11,f,6,English,95,73,44,35,78,85,85,96
12,f,7,Geography,75,65,37,71,98,68,100,60
7,m,2,Geography,69,64,73,54,43,43,86,96
15,m,10,Geography,99,49,82,81,95,91,38,57
15,f,10,Geography,64,74,79,94,39,70,94,48
6,m,1,English,69,46,59,67,61,61,49,82
10,m,5,Geography,49,89,63,72,46,40,64,46
11,m,6,Hindi,44,89,42,56,99,78,35,91
14,f,9,Science,61,75,86,47,42,70,70,81
6,m,1,Maths,38,79,93,84,60,98,100,53
15,f,10,Marathi,49,40,38,52,40,55,47,82
7,m,2,English,86,47,37,80,95,87,51,57
6,f,1,Computer,94,50,71,84,86,38,96,90
14,f,9,Hindi,84,63,64,89,66,71,98,67
13,m,8,Science,71,36,72,38,44,45,53,84
15,m,10,English,44,73,84,62,75,71,98,96
15,m,10,History,46,85,82,42,94,51,38,86
15,f,10,History,84,63,53,73,48,37,38,97
10,f,5,Marathi,63,63,62,35,80,48,35,75
8,m,3,Computer,59,64,96,100,94,63,71,53
8,f,3,Science,88,93,61,37,94,85,75,65
6,m,1,Science,94,71,81,94,41,79,84,93
12,m,7,Science,97,54,61,66,36,71,79,75
7,f,2,Computer,40,87,71,80,41,82,40,43
10,f,5,Science,80,63,41,81,92,68,67,81
10,m,5,Computer,90,53,94,70,43,40,40,69
8,m,3,Maths,97,72,81,84,75,82,71,78
9,f,4,Hindi,69,54,71,52,81,43,65,63
9,m,4,Geography,58,77,78,48,86,95,77,65
8,m,3,Computer,66,88,97,81,39,36,63,99
10,m,5,Science,39,66,69,52,78,55,74,82
8,f,3,Geography,50,52,44,80,49,75,95,89
8,m,3,English,74,67,94,94,100,59,55,50
10,f,5,Maths,48,83,85,80,80,98,73,83
14,m,9,Marathi,75,50,80,37,97,99,61,98
7,f,2,English,70,54,41,69,75,63,43,78
9,f,4,Geography,82,80,83,100,86,51,42,89
8,m,3,Computer,61,54,69,35,42,93,61,67
6,m,1,History,84,46,50,35,62,77,63,64
11,m,6,Marathi,58,100,42,89,45,60,75,83
15,f,10,Computer,44,91,92,97,70,59,96,75
7,f,2,Maths,45,94,56,63,88,88,49,61
12,m,7,Marathi,50,74,45,51,69,73,46,35
10,f,5,Science,40,87,77,44,91,56,89,59
15,m,10,English,84,46,58,58,95,59,59,100
14,m,9,English,43,93,73,80,83,66,56,36
14,f,9,Geography,56,91,43,94,65,82,40,62
13,f,8,Geography,60,35,66,92,77,48,72,38
9,m,4,History,70,79,47,90,35,61,55,41
11,m,6,Hindi,91,44,43,89,71,84,80,51
14,f,9,History,92,44,97,48,50,49,42,84
15,m,10,Marathi,100,38,65,90,39,62,79,74
9,m,4,Hindi,75,90,58,44,71,69,64,67
7,m,2,Marathi,95,92,86,55,46,57,48,50
10,f,5,Marathi,62,76,39,95,46,37,87,62
9,m,4,Maths,96,75,71,72,77,85,35,74
11,f,6,Science,99,87,38,80,71,48,61,83
9,m,4,Marathi,61,40,89,82,63,64,46,67
12,f,7,English,65,44,89,69,77,58,59,49
10,f,5,Maths,61,87,88,53,70,47,52,99
15,m,10,History,95,85,68,40,81,81,94,87
9,m,4,Hindi,75,98,76,46,80,39,83,82
9,m,4,History,72,88,58,97,75,81,45,94
14,f,9,Marathi,41,55,76,62,72,99,63,87
15,f,10,Computer,53,46,46,96,86,88,65,91
8,m,3,Maths,89,93,90,88,82,49,51,80
10,f,5,Geography,66,53,93,60,89,37,71,38
8,m,3,Geography,63,99,44,79,83,76,65,59
7,m,2,Science,46,52,50,74,65,63,59,67
10,f,5,Maths,88,55,40,53,91,62,60,56
8,f,3,Hindi,37,55,79,51,75,55,82,92
6,m,1,English,46,98,43,80,81,68,91,90
8,m,3,English,76,62,39,87,47,47,87,84
7,f,2,Maths,44,97,69,61,69,50,96,97
15,m,10,Marathi,96,54,64,85,56,36,44,49
6,m,1,Geography,56,42,51,61,69,83,36,77
8,m,3,Geography,55,39,71,64,52,85,69,100
7,f,2,Computer,54,71,83,79,70,44,73,91
13,m,8,Science,86,71,93,92,93,51,52,40
14,f,9,Maths,99,87,60,63,45,67,68,98
15,m,10,Hindi,96,76,76,49,81,94,64,68
7,f,2,Hindi,55,95,51,43,66,97,54,67
7,f,2,Marathi,99,83,51,75,81,87,39,81
6,m,1,Science,76,52,92,60,94,63,56,87
7,m,2,Hindi,85,53,57,37,60,57,88,53
14,m,9,Science,44,87,94,56,40,51,98,65
8,f,3,History,57,66,69,40,55,70,69,45
14,f,9,History,89,74,38,84,85,72,51,81
7,m,2,Science,72,52,42,56,98,81,87,43
8,f,3,Hindi,83,77,80,61,71,81,89,38
12,m,7,Maths,86,52,74,53,91,43,36,99
13,m,8,Hindi,46,73,79,47,67,68,42,52
8,f,3,Computer,38,81,87,40,73,63,73,68
14,f,9,Maths,83,73,65,63,65,47,75,54
7,m,2,Science,50,81,38,92,57,73,100,86
6,m,1,Marathi,70,90,92,86,69,51,88,95
15,f,10,Geography,91,70,85,41,63,38,44,51
7,m,2,Marathi,73,48,71,36,50,56,61,77
9,m,4,History,77,38,79,47,55,41,86,68
10,m,5,Maths,64,47,76,68,78,35,36,56
11,f,6,English,57,75,95,35,88,65,48,45
13,m,8,Maths,77,91,41,80,78,70,86,46
11,f,6,Marathi,38,44,96,99,41,63,42,41
12,m,7,Marathi,100,99,59,35,69,100,100,68
15,f,10,Science,41,88,82,83,61,54,88,37
8,f,3,Computer,47,56,55,55,93,99,85,90
12,m,7,History,66,42,51,81,40,42,59,86
10,m,5,Computer,99,69,60,96,57,67,58,96
10,m,5,Hindi,43,86,46,39,83,59,51,66
9,f,4,Marathi,53,65,63,50,75,38,55,40
12,f,7,History,57,61,41,47,71,64,97,50
13,m,8,English,97,94,75,45,81,89,97,64
12,f,7,Geography,62,89,80,37,57,92,48,48
9,m,4,Hindi,52,88,79,76,57,79,72,50
7,m,2,Hindi,90,86,68,68,80,99,93,54
13,f,8,Science,84,74,89,36,35,40,65,41
14,f,9,Maths,97,86,79,51,98,87,46,40
10,m,5,Computer,74,36,48,91,47,100,96,46
10,m,5,Hindi,96,90,54,82,41,63,51,44
12,f,7,Computer,60,54,36,61,71,42,62,60
7,m,2,Science,69,85,89,78,74,84,96,50
15,m,10,English,75,91,38,56,92,54,67,47
11,m,6,Computer,77,75,76,40,77,44,60,86
7,f,2,English,76,95,46,36,90,42,65,37
6,m,1,Maths,99,75,72,52,73,91,82,40
12,f,7,Marathi,43,86,59,36,51,56,50,61
15,m,10,Computer,62,54,79,96,42,75,48,70
7,f,2,Marathi,65,64,41,87,82,91,74,91
11,f,6,Marathi,51,76,81,42,90,97,96,42
7,m,2,English,78,40,96,55,40,89,46,80
11,m,6,Computer,89,59,62,36,58,96,36,70
15,m,10,Geography,69,68,59,89,81,93,57,67
8,f,3,English,81,43,70,64,69,54,41,48
10,f,5,English,68,46,98,92,92,38,78,91
9,m,4,English,91,65,57,89,61,47,80,73
10,f,5,Science,77,92,61,61,56,90,98,48
11,m,6,Maths,56,35,37,91,41,36,53,57
8,m,3,Science,99,40,49,86,65,58,88,98
10,f,5,Maths,77,95,42,56,52,98,64,60
13,f,8,History,73,98,51,98,42,89,80,99
8,m,3,Computer,60,89,71,42,55,92,82,65
15,m,10,Hindi,100,100,87,82,98,96,49,65
14,f,9,History,88,91,84,92,93,37,70,59
12,m,7,Geography,40,70,42,40,41,45,39,56
13,m,8,English,92,88,40,90,56,73,92,89
9,m,4,Science,71,69,88,99,70,92,64,58
12,f,7,Maths,77,45,44,90,81,58,47,39
11,m,6,Science,87,37,49,88,47,37,66,90
8,f,3,Marathi,66,49,52,91,84,75,36,88
9,m,4,Hindi,78,55,78,56,100,46,64,89
15,f,10,Hindi,72,76,59,54,68,40,52,73
11,f,6,Computer,91,82,41,52,97,56,59,42
8,m,3,Hindi,76,44,61,69,69,65,66,43
12,m,7,English,71,37,98,85,96,35,88,68
12,m,7,Hindi,50,59,66,71,82,62,53,86
9,f,4,Computer,77,48,35,47,77,95,78,60
11,f,6,Science,75,75,76,86,63,41,69,55
8,m,3,Computer,57,87,70,82,83,90,99,47
11,f,6,Computer,91,70,80,86,67,54,47,85
14,m,9,Geography,87,91,57,98,61,77,71,49
12,m,7,History,85,65,75,90,49,37,76,36
9,f,4,Marathi,91,91,56,79,86,55,92,82
6,f,1,English,64,77,94,63,41,84,83,48
8,m,3,Geography,88,65,98,44,40,83,75,75
9,m,4,Hindi,91,98,84,71,100,99,63,43
13,f,8,Hindi,62,98,81,44,39,59,85,81
6,m,1,Marathi,71,50,86,47,62,48,92,46
10,m,5,English,41,78,40,98,41,83,83,53
15,m,10,Geography,84,81,61,98,71,83,65,55
6,f,1,Geography,68,64,67,60,49,75,56,52
14,m,9,History,51,36,43,91,91,39,57,59
14,f,9,Geography,42,35,96,63,41,87,78,36
13,m,8,Science,96,56,37,35,80,59,42,61
15,f,10,Maths,51,59,38,83,46,36,76,86
9,f,4,Geography,50,51,86,90,70,80,69,41
13,m,8,English,94,77,97,39,54,66,81,96
12,m,7,Hindi,91,45,74,90,67,91,64,74
7,m,2,Maths,91,88,77,40,98,65,49,95
14,f,9,Geography,87,92,99,38,66,52,92,100
12,f,7,Computer,97,83,78,52,36,96,99,83
6,m,1,Geography,37,35,40,66,74,87,64,60
11,f,6,Geography,66,36,99,94,85,62,97,92
7,m,2,Science,64,70,51,63,76,46,64,100
14,m,9,Science,58,76,45,63,94,63,39,54
13,f,8,English,39,40,68,76,81,40,65,44
10,f,5,Science,53,55,74,40,52,95,100,90
14,m,9,History,46,60,79,96,53,54,38,60
10,m,5,English,43,82,49,100,68,66,39,97
9,f,4,English,54,59,92,42,68,98,95,92
15,m,10,Geography,86,56,67,55,58,65,68,51
9,m,4,Computer,44,74,93,70,36,71,38,42
8,m,3,Maths,43,97,57,84,81,97,88,70
10,f,5,Science,69,57,71,75,53,74,35,51
15,m,10,Hindi,57,99,51,63,74,45,73,96
6,f,1,Science,69,48,39,53,84,40,53,91
15,m,10,Computer,96,97,94,36,95,81,44,55
6,f,1,English,93,94,53,36,61,55,84,80
7,f,2,History,86,60,66,51,64,47,83,64
8,m,3,English,76,50,63,61,80,71,82,45
12,m,7,English,54,67,85,81,91,44,88,88
12,m,7,Computer,90,92,90,58,56,54,50,77
10,f,5,Marathi,44,88,47,80,100,66,88,99
13,f,8,Science,88,91,71,46,40,69,64,55
12,m,7,Maths,64,42,79,52,64,79,60,78
12,f,7,Hindi,69,47,96,85,43,57,80,66
6,m,1,Computer,37,74,61,75,39,69,38,70
7,m,2,Computer,96,76,74,66,73,54,71,56
14,f,9,Computer,87,80,88,93,59,76,49,92
10,f,5,Science,87,53,65,38,100,84,36,90
10,m,5,English,43,63,51,41,89,84,89,45
11,m,6,English,66,38,78,46,72,44,47,61
15,f,10,Marathi,91,53,40,65,69,78,89,72
11,m,6,History,89,72,93,75,59,99,36,60
12,m,7,History,67,84,79,81,66,83,97,53
